brand,year,mileage,engine_size,price
Honda,2021,8534,2.2,17211
Volkswagen,2016,66807,3.8,26637
Toyota,2010,56670,2.1,13188
BMW,2022,80465,2.7,44487
Volkswagen,2020,59720,3.2,35301
Hyundai,2012,102619,3.0,6955
Volkswagen,2010,8739,2.7,38114
Nissan,2011,38107,3.5,11607
Mazda,2018,138934,2.6,38747
Chevrolet,2019,87533,2.3,11188
Volkswagen,2014,22487,3.3,9285
Honda,2022,33353,3.8,29527
Honda,2013,13984,3.0,39516
Volkswagen,2021,28130,2.1,19952
Ford,2013,78794,3.4,7935
Kia,2017,45080,3.4,15846
Volkswagen,2021,17839,2.1,41221
Kia,2012,103874,2.4,20853
Hyundai,2021,46499,1.8,36577
Toyota,2021,135094,1.6,39798
Hyundai,2013,141428,3.5,44411
Volkswagen,2011,87036,2.4,11628
Honda,2015,80926,2.1,17825
Ford,2021,34778,2.1,10092
BMW,2018,110528,1.6,12392
Kia,2021,68192,4.0,9442
Mazda,2013,90376,2.4,17193
Kia,2020,133219,1.8,8814
Nissan,2015,34980,3.6,32905
Chevrolet,2013,19065,3.3,29303
Volkswagen,2023,130361,3.1,42250
Hyundai,2011,15559,2.2,32006
Mazda,2022,129514,2.5,25637
Honda,2023,78969,3.6,7148
Honda,2015,144728,3.1,8746
Honda,2021,48210,2.3,19969
BMW,2016,36477,1.7,24685
Nissan,2013,111111,3.7,43138
Honda,2021,34529,3.9,26073
Honda,2020,23262,3.3,39279
Volkswagen,2016,70087,3.2,12788
Nissan,2022,56686,2.8,18793
Ford,2020,79299,3.9,26029
Ford,2017,118044,3.2,25499
Nissan,2020,41409,1.6,7511
Chevrolet,2012,24535,1.6,12747
BMW,2011,128828,3.9,27024
Mazda,2014,140182,3.9,35474
Kia,2011,114518,2.9,15205
Volkswagen,2019,143279,2.0,38990
Toyota,2014,53637,2.9,14528
Ford,2019,79405,3.4,21272
Nissan,2022,48872,1.4,18580
Mazda,2015,17185,3.5,36534
Nissan,2017,111706,2.6,30979
Kia,2015,6396,2.6,11687
Mazda,2013,8460,2.5,42815
Ford,2012,107657,3.2,22802
Honda,2023,12676,1.9,24317
Nissan,2023,42312,3.0,37563
Toyota,2011,139220,1.5,36900
Ford,2022,148344,3.5,16393
Hyundai,2010,7655,3.5,6258
Toyota,2011,60863,2.2,16715
Chevrolet,2011,66045,1.7,37735
BMW,2014,50517,3.3,8120
Ford,2018,79227,2.6,11512
Honda,2010,79789,3.8,20468
Ford,2013,59322,2.3,34791
Kia,2019,106800,3.6,18865
Mazda,2016,125782,1.5,10807
Nissan,2020,140294,3.4,38907
Mazda,2023,56141,3.2,6661
Mazda,2019,15716,2.8,39390
Ford,2012,65644,3.8,43515
Kia,2017,130650,3.8,44414
Nissan,2012,93499,3.8,29132
Nissan,2017,137454,3.0,26327
Mazda,2022,140239,2.8,42066
Chevrolet,2011,122323,2.1,29164
BMW,2014,108849,1.8,22082
Kia,2013,86117,2.8,42436
Chevrolet,2020,96730,1.8,39525
Volkswagen,2018,65972,1.8,29694
Volkswagen,2012,79963,2.3,26808
Toyota,2021,59534,1.9,35504
Mazda,2020,121093,2.7,18511
Nissan,2014,29121,3.1,35584
Ford,2019,76736,3.2,28316
Nissan,2018,66581,2.8,20303
Nissan,2022,31123,2.8,28388
Honda,2015,56036,2.6,14805
Nissan,2011,135062,2.0,43501
Toyota,2010,83855,3.1,14673
Chevrolet,2021,27701,3.1,33378
Volkswagen,2020,46178,2.1,13090
Nissan,2010,110734,3.2,15087
Nissan,2016,42118,3.6,18561
Honda,2023,30387,2.9,38250
Kia,2021,62613,1.7,17707
Ford,2011,51666,2.3,33706
Kia,2016,34554,1.6,10620
Ford,2010,124387,2.2,5292
BMW,2013,47146,2.0,29715
Nissan,2019,105037,2.8,41760
Honda,2022,149060,2.5,16227
Hyundai,2020,21456,3.3,30406
Mazda,2013,124681,2.3,31998
Volkswagen,2014,127573,1.8,15705
Chevrolet,2023,66405,2.0,32913
Volkswagen,2023,147106,2.8,12993
Chevrolet,2019,5877,2.6,37870
BMW,2010,67718,1.5,10634
Kia,2016,63100,1.9,17996
Toyota,2020,14642,2.2,31422
Nissan,2011,105844,3.3,19285
Hyundai,2021,55483,3.3,33972
Chevrolet,2020,70293,3.2,8752
Mazda,2022,80450,3.5,8423
Chevrolet,2020,101629,3.7,35240
Toyota,2022,118140,1.6,44749
Volkswagen,2011,54508,2.7,9573
Honda,2017,112815,1.8,21257
Volkswagen,2018,136651,2.3,40993
BMW,2015,17587,3.1,23479
Honda,2020,71181,3.0,37175
Volkswagen,2010,97345,1.7,15792
Mazda,2010,48591,3.4,26683
Volkswagen,2023,36901,3.4,15510
Mazda,2020,98411,1.8,13404
Mazda,2016,144571,3.0,21740
Honda,2017,136305,3.9,29084
Kia,2012,64566,1.6,43808
Ford,2018,20246,1.8,26200
Nissan,2013,108425,3.4,42672
Chevrolet,2013,118400,2.3,6920
Ford,2012,39503,3.9,33066
Toyota,2017,140349,3.0,33079
Kia,2018,71477,2.7,12206
Ford,2010,136421,2.3,23910
Honda,2011,97798,2.0,31789
Toyota,2010,78000,3.1,23454
Hyundai,2023,149580,2.9,5907
Kia,2013,102565,2.3,24717
Ford,2019,115123,3.8,18409
Toyota,2016,72081,3.4,34190
Hyundai,2023,121434,2.1,7317
Volkswagen,2016,33957,3.9,43627
Toyota,2021,143968,3.4,33397
Honda,2015,110634,3.7,21022
Volkswagen,2022,140360,1.8,8345
Honda,2020,26150,1.5,43467
Ford,2014,92877,2.7,32928
Nissan,2020,115540,2.6,19880
Ford,2013,110139,3.7,7610
Volkswagen,2021,26091,1.8,9913
Mazda,2022,136972,1.5,8732
Ford,2023,51702,2.8,36718
Volkswagen,2017,24725,1.9,5574
Toyota,2016,33722,1.5,35841
BMW,2020,23059,1.5,28919
Ford,2020,23161,1.8,7586
Toyota,2019,95345,2.4,36952
Honda,2010,15687,3.7,34684
Kia,2015,87503,3.4,22682
Nissan,2023,104770,2.8,16488
Honda,2011,13694,2.5,13249
Honda,2013,132260,2.6,23671
Volkswagen,2014,104459,3.7,22907
Mazda,2017,55087,3.3,12134
Chevrolet,2015,112941,1.8,23830
BMW,2020,61561,3.8,41844
Mazda,2011,10364,3.4,19817
Volkswagen,2014,82008,1.5,7478
Nissan,2014,140046,2.7,7093
BMW,2015,29053,3.1,13024
BMW,2010,137282,1.6,14930
Volkswagen,2017,110128,2.3,43514
Hyundai,2012,43966,3.1,26047
Honda,2014,31070,3.5,31755
Kia,2016,114573,3.9,36012
Hyundai,2012,111327,1.7,14049
Volkswagen,2023,147318,3.0,26364
Hyundai,2019,44829,3.7,37079
Kia,2022,66125,3.3,35312
Volkswagen,2015,110111,3.0,26550
Volkswagen,2014,110277,2.0,37373
BMW,2016,5169,3.5,40663
Hyundai,2019,98943,2.9,39373
Toyota,2020,97408,1.7,6568
Ford,2012,149021,3.8,25238
Volkswagen,2022,52313,4.0,33107
Hyundai,2023,83735,2.8,43908
Chevrolet,2011,65131,3.4,41951
Nissan,2013,131195,2.9,36263
Chevrolet,2012,112127,2.5,11632
Hyundai,2013,52740,2.5,36343
Honda,2016,117339,3.9,26229
Honda,2014,73570,2.4,15510
Hyundai,2013,149400,2.7,26690
BMW,2023,49047,2.0,34255
BMW,2015,124168,2.1,21131
Volkswagen,2016,77666,2.3,17314
Kia,2021,107173,3.8,16364
Ford,2023,60251,2.4,12609
Volkswagen,2020,5791,2.8,13884
Chevrolet,2014,17333,2.8,40834
Ford,2021,73892,2.9,21934
Chevrolet,2016,140997,3.5,20758
BMW,2012,146836,3.7,23706
Hyundai,2016,59226,1.9,42492
Kia,2021,82632,3.6,24782
Chevrolet,2012,44468,2.8,6953
BMW,2023,7094,3.8,26272
Kia,2015,50583,3.8,6448
Volkswagen,2017,54021,2.4,35296
Hyundai,2022,20362,3.1,8889
Nissan,2015,17185,3.7,41974
Honda,2019,86678,2.4,27185
Mazda,2020,123984,1.5,38635
Kia,2012,48190,2.3,35363
Nissan,2021,145836,2.4,22254
Nissan,2014,21888,3.5,13408
Kia,2018,19748,2.2,38280
Nissan,2017,56013,3.7,19742
Chevrolet,2015,120091,2.8,31223
Nissan,2018,25715,2.9,34770
BMW,2011,7906,3.5,14870
Ford,2022,98125,1.7,9837
Chevrolet,2020,16808,1.4,38667
Nissan,2018,69945,1.5,32563
Volkswagen,2019,72105,1.5,32592
Honda,2022,115212,3.2,44968
Hyundai,2019,31419,2.0,35313
Nissan,2015,131258,3.6,13133
Toyota,2018,16156,3.7,33205
Honda,2021,10062,2.3,5794
Volkswagen,2013,39940,1.9,7075
BMW,2014,27463,2.7,27957
Nissan,2011,41188,3.5,21490
BMW,2012,76813,3.2,35108
Nissan,2010,39017,1.5,26087
Mazda,2013,119375,1.4,35846
Ford,2021,7697,1.7,33216
BMW,2011,115930,2.3,38403
Ford,2021,59086,2.8,28438
Honda,2011,93385,3.5,42402
Mazda,2010,41652,1.8,13905
Hyundai,2019,143326,1.8,5122
Chevrolet,2021,66631,3.6,34243
Ford,2011,85527,3.8,22738
Mazda,2013,109084,2.8,13484
Ford,2015,124771,3.4,33567
Kia,2022,118645,2.3,22005
Volkswagen,2021,64019,3.9,20348
Hyundai,2016,125807,3.8,20590
Volkswagen,2016,109528,3.6,42178
Nissan,2016,70233,1.4,36246
Ford,2013,5372,2.8,5842
Nissan,2021,76564,1.5,28504
Toyota,2014,128297,3.2,27373
Ford,2023,133058,1.9,16433
Mazda,2020,68615,3.1,34810
Hyundai,2021,34445,1.7,26498
Nissan,2012,90532,3.4,7199
Ford,2010,114435,3.3,37026
Toyota,2023,81974,1.4,31084
Volkswagen,2017,126049,3.5,15878
Mazda,2019,136827,1.8,29940
Kia,2020,67716,1.7,21101
Ford,2016,74061,2.7,15133
Kia,2023,34884,2.9,44088
Honda,2018,6796,1.7,16548
Hyundai,2023,149826,2.2,42382
Ford,2019,148233,2.5,14506
BMW,2013,122747,3.9,27183
Toyota,2021,72713,2.1,12874
Nissan,2021,98668,2.1,38996
BMW,2014,72586,3.1,43352
Honda,2014,127206,3.3,19886
Hyundai,2022,95666,1.4,32515
Volkswagen,2016,118796,1.7,24817
Mazda,2022,43577,2.3,11003
Kia,2018,59765,3.0,19368
Honda,2017,29841,1.7,14698
Nissan,2016,30498,2.3,26256
Mazda,2023,113567,1.6,25317
Volkswagen,2010,117642,2.9,32773
Nissan,2021,72229,2.5,34766
Toyota,2019,132855,3.4,27589
Kia,2022,68914,2.9,31311
BMW,2015,116399,3.1,8398
Ford,2019,19838,3.1,9826
Honda,2018,106224,2.9,14368
Ford,2022,91765,1.4,10294
Mazda,2016,74703,3.6,10426
Ford,2010,46845,3.8,37539
BMW,2018,43907,2.8,34025
Chevrolet,2012,60421,1.7,14587
Mazda,2023,38330,3.1,10321
Kia,2018,60244,2.3,34603
Nissan,2013,126696,1.6,35053
Kia,2018,45564,3.6,21194
Ford,2022,108963,3.3,13096
Hyundai,2017,126299,3.5,7713
Mazda,2016,125972,3.5,42367
Nissan,2013,67469,2.3,27248
Volkswagen,2018,7716,2.7,33598
Toyota,2013,32254,2.0,28345
Kia,2010,47632,3.4,43986
Kia,2015,108964,2.8,43643
Mazda,2013,114623,3.1,43130
Hyundai,2019,26277,2.3,42037
Ford,2012,131833,3.2,10054
Ford,2021,22503,3.1,16325
Mazda,2014,105566,3.4,43643
Kia,2012,91921,1.8,30743
Nissan,2020,81180,3.0,5234
Toyota,2018,114264,3.7,22199
Mazda,2021,37864,1.6,15190
Nissan,2015,144850,3.9,5160
Nissan,2012,101923,1.9,23630
Volkswagen,2014,50596,3.8,8399
BMW,2017,134739,3.7,36348
Chevrolet,2023,24733,3.4,22321
Toyota,2017,114082,1.9,43429
Honda,2015,17372,2.0,16175
Hyundai,2014,116950,2.1,15381
Chevrolet,2014,40256,3.5,44231
Volkswagen,2010,78353,1.9,24883
Toyota,2011,89757,2.9,41351
Ford,2021,119687,3.4,43365
Chevrolet,2020,110700,2.6,6464
Ford,2013,63546,3.6,42532
Hyundai,2015,13064,2.9,41587
Ford,2020,108073,2.9,38112
Hyundai,2016,46689,3.2,15307
Toyota,2010,49006,3.6,35525
Kia,2017,37195,1.4,8700
Hyundai,2021,5203,2.4,41275
Nissan,2010,50248,3.9,12992
Honda,2018,12460,1.7,13513
Honda,2013,123463,2.0,11992
Mazda,2021,62230,2.9,32624
Honda,2016,127268,3.6,41659
Mazda,2020,140427,1.7,26866
Honda,2023,36935,1.4,27064
Hyundai,2015,122739,3.2,26014
Nissan,2022,7663,3.0,11868
Kia,2018,99903,2.1,18311
Ford,2023,136110,3.9,39489
Volkswagen,2011,15318,2.9,8336
Honda,2020,144992,3.1,13390
Kia,2016,66243,2.4,16345
Kia,2020,115723,3.8,39745
Hyundai,2014,89044,2.1,20064
Toyota,2022,41902,3.3,15575
Toyota,2016,102845,1.7,15732
Honda,2010,76074,2.8,43948
Volkswagen,2020,53949,2.9,11113
Honda,2020,109765,1.9,23546
Honda,2019,51543,2.2,18316
Mazda,2018,16398,1.9,36648
Nissan,2010,78436,3.6,7496
Nissan,2023,114809,3.1,14513
Volkswagen,2014,55396,2.6,8387
Mazda,2023,115583,2.8,7380
Kia,2017,71193,2.3,17282
Mazda,2010,114461,2.5,20970
Honda,2016,25840,3.0,11033
Toyota,2011,103119,1.9,34811
Chevrolet,2016,85061,1.7,42500
Volkswagen,2016,68900,3.9,17266
Kia,2018,50384,2.0,22329
Hyundai,2015,129679,2.7,33269
Chevrolet,2013,34917,3.4,40530
Chevrolet,2016,117301,2.8,6804
Mazda,2016,93155,3.1,31602
Ford,2013,75071,1.8,23718
Chevrolet,2011,61425,2.4,21870
Honda,2022,85116,3.2,15537
BMW,2020,66321,1.9,39373
Toyota,2018,72512,2.7,24313
Toyota,2023,106973,2.9,27666
BMW,2017,123880,3.5,26652
Nissan,2014,52055,2.0,24097
Honda,2023,5937,3.9,31638
Hyundai,2014,22673,3.9,27971
Chevrolet,2010,107974,1.4,30937
Nissan,2020,77957,2.4,33103
Honda,2018,17953,1.6,9200
Mazda,2020,72052,2.2,31530
Toyota,2023,48042,3.0,7843
Nissan,2019,124180,3.0,40484
Volkswagen,2020,76706,1.7,42102
Chevrolet,2017,129765,3.2,11963
Chevrolet,2014,138425,3.6,42485
Hyundai,2019,16999,3.0,17477
Ford,2015,81474,2.2,31881
Volkswagen,2021,68134,1.4,11141
Chevrolet,2019,136652,3.1,28099
Kia,2020,75086,3.2,8436
Volkswagen,2019,50248,3.2,13589
Chevrolet,2017,122651,1.5,19379
BMW,2015,67249,2.7,16128
Volkswagen,2019,12647,2.5,33091
Honda,2023,73079,3.4,12572
Volkswagen,2013,85094,3.3,36201
Hyundai,2012,58546,3.9,37934
Mazda,2016,85919,3.7,44067
Mazda,2022,35033,2.9,43694
Mazda,2011,90075,3.9,24136
Honda,2016,90625,1.8,9935
Nissan,2010,103820,1.4,33987
Mazda,2022,36000,1.7,15639
Toyota,2019,77113,2.3,20922
Honda,2014,148701,3.4,6822
Nissan,2018,142994,2.4,22030
Toyota,2022,98435,3.4,14604
Toyota,2022,131956,3.3,43081
Toyota,2010,104294,3.5,12663
Kia,2017,66049,1.9,39371
Hyundai,2018,101155,2.7,40593
Hyundai,2018,12721,3.3,27114
Honda,2017,121539,2.1,16072
Toyota,2013,106013,3.6,20618
BMW,2023,116870,3.4,22834
Volkswagen,2023,72714,1.7,44321
Nissan,2016,100166,2.0,6104
Hyundai,2010,116992,2.0,19841
Mazda,2016,14747,3.7,11173
Honda,2015,136050,1.9,5839
Nissan,2014,129102,3.0,42234
Honda,2010,134244,1.6,43137
BMW,2017,78640,2.8,37791
Kia,2019,52746,1.8,32987
Kia,2010,143410,2.9,29435
Toyota,2010,71704,2.4,13452
Kia,2023,134511,3.0,33579
Honda,2012,61500,2.4,7775
Mazda,2022,147395,3.6,17788
Toyota,2017,73163,3.4,11070
Chevrolet,2017,133191,3.6,20265
Nissan,2023,23919,2.0,8309
BMW,2016,58956,1.8,42891
Toyota,2014,21544,2.8,44269
Honda,2017,55936,3.7,26544
Nissan,2011,24566,1.7,32119
Mazda,2017,131854,2.0,11568
Ford,2021,19880,3.3,10878
BMW,2020,148008,2.6,37286
Honda,2011,101284,3.0,41958
BMW,2019,17198,2.9,25539
Hyundai,2014,13376,2.5,6458
Ford,2020,72432,3.2,8879
Nissan,2022,114791,3.6,31054
Kia,2013,68295,3.8,15948
Honda,2022,145885,1.5,16068
BMW,2010,56313,2.8,17649
Nissan,2014,111873,1.5,19013
Kia,2016,25232,3.7,6075
Mazda,2010,38609,2.5,37951
Mazda,2011,121859,3.7,32794
BMW,2021,44021,1.9,33485
Toyota,2023,50108,1.8,27115
Hyundai,2018,135221,3.8,37667
Toyota,2021,90305,3.8,44089
Hyundai,2014,9821,3.4,10129
Honda,2023,125501,2.0,18474
Chevrolet,2022,70580,1.8,7674
BMW,2016,10236,3.3,38486
Volkswagen,2011,31745,3.1,40454
BMW,2016,142697,3.7,5236
Ford,2016,98353,2.1,27415
Kia,2016,9014,2.2,13674
Ford,2014,43548,3.3,14881
Mazda,2018,46033,2.1,43199
Hyundai,2011,44060,2.6,7269
Kia,2013,72096,2.8,14705
Mazda,2011,63235,3.1,8291
Kia,2017,81860,2.3,34651
Toyota,2021,97001,3.6,36645
Mazda,2020,100285,2.4,40144
Toyota,2010,30822,1.5,28616
Toyota,2018,87392,1.6,8208
Kia,2021,125123,3.9,25646
Nissan,2022,39985,3.0,17450
Ford,2023,30276,2.7,28200
Mazda,2014,139059,3.7,16660
Volkswagen,2020,13330,3.3,14037
Nissan,2021,80811,1.9,33084
Ford,2012,53119,1.4,22408
Mazda,2021,119619,4.0,39993
Hyundai,2020,42603,3.0,21198
Ford,2013,33940,2.6,41782
Volkswagen,2010,13377,3.9,8061
BMW,2012,67308,2.4,22254
Honda,2020,40961,3.3,40059
Toyota,2017,9928,3.1,5691
Honda,2021,14604,3.2,14563
Nissan,2011,53029,3.2,42335
BMW,2011,98300,1.4,22998
Toyota,2018,149849,3.5,15842
Mazda,2014,57068,3.8,33489
Nissan,2014,117236,2.6,9299
Volkswagen,2010,108949,2.9,10288
Kia,2022,140333,2.2,35876
Mazda,2015,42306,3.4,19023
Ford,2017,74962,3.3,40785
Kia,2015,67432,3.3,5904
Nissan,2023,137430,3.3,21873
Ford,2016,83959,2.0,32129
Volkswagen,2023,39537,1.7,8854
Honda,2013,32337,2.2,9099
Ford,2011,130762,2.9,19996
Honda,2010,134162,2.4,37687
Toyota,2021,68247,2.0,5903
Hyundai,2015,96301,1.5,26037
Chevrolet,2018,22576,1.7,24155
Mazda,2019,40584,1.7,18421
Chevrolet,2014,44035,3.9,43085
Toyota,2021,98733,3.4,17680
Ford,2011,140928,1.7,36151
Toyota,2010,100980,2.6,7099
Chevrolet,2012,92163,3.1,43300
Chevrolet,2013,17023,3.9,36902
Mazda,2016,130524,2.1,8134
Kia,2018,105187,2.1,24607
BMW,2017,67919,2.9,18487
Toyota,2018,5540,3.6,39328
Hyundai,2016,13837,2.1,31982
BMW,2019,108030,1.7,36252
Toyota,2017,69889,2.1,43018
Volkswagen,2017,54054,2.6,6033
Nissan,2010,14046,2.3,5718
Nissan,2021,57495,3.6,27351
Chevrolet,2023,45579,3.9,8819
Nissan,2021,64821,2.4,10806
Honda,2018,100877,3.5,20414
Hyundai,2011,81668,1.6,5967
Nissan,2021,14012,2.8,44183
Ford,2020,12030,3.6,44471
Honda,2023,127047,2.5,22698
BMW,2016,148099,1.8,12784
Honda,2022,98399,2.1,35042
Toyota,2019,23565,2.7,23859
Chevrolet,2019,106536,3.6,16183
Mazda,2022,118921,3.3,35080
Mazda,2014,147710,1.6,6898
Volkswagen,2013,96122,2.8,25829
Hyundai,2010,62540,3.7,25990
Toyota,2010,14225,2.9,37649
Mazda,2012,101774,1.6,23782
Chevrolet,2023,87268,3.5,22931
BMW,2010,33353,3.8,19882
Mazda,2017,53531,2.4,25705
Ford,2012,137730,2.2,33287
Honda,2020,30150,2.8,41191
Mazda,2019,149387,4.0,24147
Toyota,2011,126159,3.6,23860
Nissan,2015,43649,3.5,35615
Nissan,2013,25392,1.9,13661
BMW,2022,142115,3.7,21906
Nissan,2022,21867,2.8,41123
BMW,2023,107216,3.8,29556
Toyota,2020,136429,3.1,5743
Hyundai,2023,131874,3.6,37787
Nissan,2022,35408,1.8,13132
Volkswagen,2020,31279,3.2,35450
Chevrolet,2022,107868,2.1,13126
Honda,2013,60131,1.8,20731
Nissan,2011,46452,2.9,12481
BMW,2011,81855,3.0,20189
Toyota,2020,68612,2.7,43308
Nissan,2015,32578,1.6,16240
Mazda,2014,6908,2.0,15315
Nissan,2018,103059,2.0,26852
BMW,2013,84368,2.2,23069
Ford,2014,147658,3.0,10560
Ford,2010,75940,2.5,10205
Nissan,2021,92878,3.9,6480
Honda,2021,137697,1.4,34001
Toyota,2011,102543,2.0,35216
Volkswagen,2012,22871,2.9,20569
Volkswagen,2014,134742,3.7,19873
Nissan,2021,117961,1.5,33818
Nissan,2014,60653,3.7,41707
Ford,2013,145180,2.7,9163
BMW,2023,120398,3.4,40120
Honda,2019,39984,3.9,25505
Nissan,2012,68478,2.0,39604
Volkswagen,2018,29290,2.9,24060
Toyota,2010,146890,3.7,36843
Hyundai,2015,11984,3.6,21137
Mazda,2016,71286,2.8,9588
Nissan,2019,10594,3.9,41547
BMW,2013,143243,3.2,28189
Nissan,2019,101624,2.8,29021
BMW,2012,121575,1.6,29372
Honda,2017,55570,2.7,15268
Hyundai,2018,122291,2.5,15122
Chevrolet,2022,100350,2.2,38918
Toyota,2010,133742,3.9,43078
Toyota,2020,124788,3.8,21060
BMW,2021,67405,2.3,25279
Ford,2019,116606,2.5,20480
BMW,2018,67653,3.4,6259
Ford,2016,146282,3.6,36544
Kia,2010,64380,1.7,31501
Volkswagen,2016,106791,2.7,36780
Toyota,2014,125598,3.8,41108
Honda,2019,125996,3.1,30824
BMW,2022,124421,2.8,6479
Honda,2022,80237,3.3,20039
Hyundai,2016,97150,3.1,28467
Honda,2021,85202,3.8,41327
Nissan,2018,75775,3.8,34165
Volkswagen,2017,89266,2.4,8729
Nissan,2015,71391,1.5,22525
Mazda,2011,79894,2.3,29479
BMW,2017,55817,1.9,19257
Toyota,2021,74574,1.7,38338
BMW,2023,47932,3.7,40853
Volkswagen,2013,68404,3.2,38224
Chevrolet,2017,25071,1.5,16972
Chevrolet,2016,58694,3.8,35909
Mazda,2013,5733,3.7,31974
Volkswagen,2017,66127,3.9,40988
Kia,2020,83345,3.6,34095
Kia,2020,149758,1.6,27578
Kia,2021,74034,3.0,44624
Toyota,2020,112620,1.6,28636
Toyota,2011,140789,3.3,26416
Kia,2018,9854,1.9,43858
Chevrolet,2015,105162,3.8,13403
Volkswagen,2016,113787,3.8,10617
Honda,2019,19358,2.9,13575
Volkswagen,2010,9960,3.4,24878
Kia,2012,31576,3.6,35911
Volkswagen,2023,96909,2.4,28808
Hyundai,2019,23700,2.9,29589
Toyota,2014,56166,1.9,42804
Toyota,2021,52417,4.0,20764
Chevrolet,2016,24412,3.8,38648
Honda,2010,102760,2.7,44623
Kia,2018,64291,2.8,20933
BMW,2014,96255,2.5,27060
Chevrolet,2022,140303,1.4,10502
Chevrolet,2021,12521,2.0,24824
Honda,2012,128815,1.7,9942
Nissan,2016,16349,2.2,44809
Kia,2019,37768,2.0,34580
BMW,2017,100168,3.4,18555
Toyota,2019,67985,2.7,19236
Honda,2019,12611,3.5,34851
BMW,2012,24012,3.1,19087
Hyundai,2016,54725,3.1,36750
Chevrolet,2016,6548,3.7,18851
Honda,2013,95297,3.6,15329
Toyota,2019,99729,1.6,27245
Volkswagen,2018,19497,2.9,25345
Toyota,2010,135337,2.5,19711
Hyundai,2010,143911,3.0,26770
Honda,2014,43457,3.6,26541
Hyundai,2022,121584,1.4,25929
Kia,2012,122143,1.4,14662
Kia,2019,113296,1.6,12199
Volkswagen,2022,133919,3.7,23201
Chevrolet,2018,66976,2.3,16486
Nissan,2014,15275,2.4,20135
Ford,2016,43151,2.3,20522
BMW,2010,39173,2.0,41481
Hyundai,2011,98800,1.5,9102
BMW,2020,48612,3.8,12380
Volkswagen,2021,20960,2.0,10039
BMW,2013,9538,3.7,11223
BMW,2018,55338,3.9,21720
Toyota,2014,33709,2.9,29928
Honda,2014,138211,2.4,20682
Chevrolet,2018,52204,3.4,22570
Ford,2017,29432,1.5,41669
Honda,2011,130211,3.8,23130
Toyota,2016,11069,2.5,44671
BMW,2010,149365,2.2,17877
Ford,2019,103582,1.7,22666
Toyota,2020,105895,3.9,33165
Toyota,2020,128529,3.5,33803
Toyota,2018,135640,3.3,6545
Kia,2012,103658,3.8,34407
Ford,2022,118982,3.9,12662
Toyota,2011,89162,2.1,19323
Nissan,2013,42667,3.4,24370
BMW,2013,56632,3.4,7041
Ford,2012,103861,2.8,43738
Kia,2011,51106,1.8,26878
Hyundai,2014,74022,3.8,9453
Hyundai,2013,87081,2.2,27703
Chevrolet,2014,135891,2.9,20577
Mazda,2022,93164,1.5,5810
Nissan,2021,120386,2.5,44582
Hyundai,2021,113469,3.0,16557
Kia,2017,74080,2.4,37715
Mazda,2020,90697,2.6,28186
Toyota,2011,23376,1.9,16465
Toyota,2018,134942,2.3,24942
Volkswagen,2019,55184,3.3,44525
BMW,2010,65854,3.9,23333
Mazda,2017,92936,2.6,33537
BMW,2021,75455,3.2,40371
Kia,2014,121521,3.9,19198
Nissan,2011,82934,3.4,8831
Mazda,2017,93904,1.4,15475
Hyundai,2014,23167,3.8,20923
Nissan,2019,68178,3.7,14417
Volkswagen,2023,22568,2.1,16821
BMW,2019,77369,1.9,31170
BMW,2022,64657,3.7,38965
Nissan,2023,5571,3.2,26023
Toyota,2012,25122,2.0,36892
BMW,2016,136655,3.3,30884
Volkswagen,2013,127011,3.0,21134
Hyundai,2020,107874,2.2,40369
Ford,2020,33364,2.8,17252
Hyundai,2019,76227,2.8,30342
Hyundai,2021,80861,2.7,6525
BMW,2015,94950,2.7,42461
Honda,2019,10126,1.4,5934
Toyota,2017,97144,2.1,38488
BMW,2010,8762,2.5,31465
Toyota,2011,7786,1.7,11056
Kia,2023,72078,3.3,35745
Honda,2022,121363,3.6,10603
BMW,2017,83349,3.5,37578
Chevrolet,2016,21294,2.6,23475
Hyundai,2019,73335,3.2,6087
Kia,2018,127184,1.6,27199
Honda,2011,77459,1.9,37216
BMW,2017,55209,1.5,31197
Volkswagen,2015,11938,3.9,17163
Nissan,2010,127285,2.9,23715
Nissan,2013,109875,1.9,37250
Toyota,2023,140460,3.2,19046
Honda,2011,73163,2.7,25023
Hyundai,2016,12247,2.5,18852
Hyundai,2018,27575,3.8,10831
Ford,2015,25146,3.2,22226
Nissan,2013,27371,3.2,24912
Kia,2014,97243,1.7,41126
Honda,2020,112102,1.6,22216
Hyundai,2010,56507,3.1,29646
Ford,2022,31875,1.8,19153
Honda,2013,18792,2.6,11280
Mazda,2022,88253,2.9,22470
Hyundai,2019,90928,2.4,13780
Mazda,2012,89393,1.6,24226
Honda,2018,76679,3.3,9625
Hyundai,2015,24734,3.7,32535
Mazda,2013,149175,1.8,15115
Chevrolet,2012,52728,3.6,26651
Ford,2021,95487,3.5,7984
Kia,2022,35766,2.9,33187
Nissan,2013,50240,2.9,26312
Ford,2017,72310,3.1,18673
Mazda,2021,120261,2.8,5756
Hyundai,2014,42432,3.6,6984
Chevrolet,2022,125050,2.6,14224
Chevrolet,2020,109775,2.8,8797
Nissan,2010,27497,1.5,37061
Chevrolet,2014,33283,1.9,35020
Ford,2017,117597,3.7,38909
BMW,2020,117039,1.7,19721
Chevrolet,2021,80280,3.8,39507
Nissan,2013,74199,3.1,26532
Chevrolet,2023,17463,3.8,14423
