Income,Credit Score,Loan Amount,Decision
85668,604,66000,Reject
50963,678,52851,Reject
80124,713,36025,Approve
82870,608,111551,Reject
86547,772,35431,Approve
94110,819,104588,Reject
83554,804,123535,Reject
50936,623,63179,Reject
34426,836,61658,Reject
118839,801,136508,Reject
57606,769,50992,Approve
77832,749,65585,Approve
58151,702,85191,Approve
109303,659,139102,Reject
41308,685,76401,Reject
92522,764,62058,Approve
75671,715,92108,Approve
32204,766,76779,Reject
117265,683,55662,Reject
61131,801,56185,Approve
82428,801,102168,Reject
63870,689,27810,Reject
79067,688,98210,Reject
88585,780,128453,Reject
51607,719,71042,Approve
54968,755,93416,Approve
41908,804,98186,Reject
56423,742,146247,Reject
104707,787,54883,Approve
108257,787,59349,Approve
91215,605,72215,Reject
85835,651,58419,Reject
79429,739,87342,Approve
112152,618,125604,Reject
68458,823,84806,Approve
76169,674,44871,Reject
37659,829,71846,Reject
90614,824,128487,Reject
107240,729,68991,Approve
62793,654,146819,Reject
76473,614,67136,Reject
119388,791,91029,Approve
118330,699,52548,Reject
85751,668,142911,Reject
108915,742,24650,Approve
84254,642,77278,Reject
37006,801,64835,Reject
104218,616,36225,Reject
95344,697,65360,Reject
63840,715,86328,Approve
62430,751,115339,Reject
53091,673,73343,Reject
62983,715,119393,Reject
53989,629,84008,Reject
105451,666,77573,Reject
48990,650,71932,Reject
110360,659,147333,Reject
66081,828,40881,Approve
41033,602,53557,Reject
46241,703,89730,Reject
35939,604,98094,Reject
77562,627,111910,Reject
65063,707,81324,Approve
106721,805,40841,Approve
57045,830,33475,Approve
74769,738,26671,Approve
77118,799,80584,Approve
114703,700,51764,Reject
51625,799,73787,Approve
57076,675,25961,Reject
94805,614,75890,Reject
74605,682,130352,Reject
114565,647,147808,Reject
118509,726,83884,Approve
69121,645,25155,Reject
95101,627,149518,Reject
61433,606,118617,Reject
73309,831,141321,Reject
97468,798,148275,Reject
74254,693,85768,Reject
97293,681,140423,Reject
67853,687,80851,Reject
68405,733,29221,Approve
96652,785,64566,Approve
73527,842,109769,Reject
107227,667,22711,Reject
30492,654,32531,Reject
38811,794,30480,Reject
54272,776,60708,Approve
102010,717,32191,Approve
77153,778,79949,Approve
84110,786,138032,Reject
43979,838,87658,Reject
58328,849,145210,Reject
42867,733,23779,Reject
89234,817,91190,Approve
55851,707,130678,Reject
61279,650,143760,Reject
103402,637,96705,Reject
45449,738,86708,Reject
106221,779,27317,Approve
119080,692,76896,Reject
35451,619,20159,Reject
117178,609,145373,Reject
71316,625,77115,Reject
93064,647,87665,Reject
93761,690,39462,Reject
68870,713,104149,Reject
60873,613,22917,Reject
88627,699,39397,Reject
96155,786,46125,Approve
55372,611,131069,Reject
33642,715,91862,Reject
58001,722,80729,Approve
64064,622,119883,Reject
44122,684,67277,Reject
54820,671,34349,Reject
98431,766,80715,Approve
85745,721,54728,Approve
80081,736,50792,Approve
100902,815,27902,Approve
38711,694,141345,Reject
115132,624,99569,Reject
48793,616,122148,Reject
38199,769,123001,Reject
106253,628,55158,Reject
66191,787,119723,Reject
40211,666,23917,Reject
93069,684,113947,Reject
118896,656,99742,Reject
86746,671,32620,Reject
51542,613,147330,Reject
61312,849,97358,Approve
75242,638,123246,Reject
117893,743,93890,Approve
85388,617,44691,Reject
57691,822,109490,Reject
107960,674,90734,Reject
114388,701,46046,Approve
52601,619,42386,Reject
48020,716,31271,Reject
38155,773,41526,Reject
99119,716,138540,Reject
111051,772,63798,Approve
66777,603,135230,Reject
49710,683,143293,Reject
54532,822,45257,Approve
48601,747,77985,Reject
93227,738,73130,Approve
34967,713,136120,Reject
114289,664,94396,Reject
50022,835,46645,Approve
73463,745,44189,Approve
104671,766,101298,Reject
35722,643,20968,Reject
57413,824,25800,Approve
111050,717,44229,Approve
115867,699,78524,Reject
113596,617,116585,Reject
96732,774,49717,Approve
42297,758,140279,Reject
98323,727,107303,Reject
53816,826,93006,Approve
70695,766,149925,Reject
49702,637,83238,Reject
55242,806,24819,Approve
85841,774,76784,Approve
97712,797,121539,Reject
115663,735,107175,Reject
83574,703,134939,Reject
115744,813,89836,Approve
58482,792,66935,Approve
39171,849,68429,Reject
33696,612,109329,Reject
50058,654,96607,Reject
50313,687,23998,Reject
49149,684,61750,Reject
83521,708,25180,Approve
75740,642,98288,Reject
34956,731,50513,Reject
105731,670,123725,Reject
112612,787,37879,Approve
96641,611,109898,Reject
93811,658,81833,Reject
82160,804,132222,Reject
81313,781,34316,Approve
93232,643,113180,Reject
45417,615,96435,Reject
54729,733,131503,Reject
60099,613,44525,Reject
59961,714,25378,Approve
42602,711,68669,Reject
39256,722,22577,Reject
116120,657,41690,Reject
64681,758,126437,Reject
117440,827,119539,Reject
94789,828,135746,Reject
73361,768,78514,Approve
94503,719,101177,Reject
64540,634,80962,Reject
56536,845,89195,Approve
114700,609,97383,Reject
93043,680,107288,Reject
108532,842,101976,Reject
86575,833,95620,Approve
32871,757,93008,Reject
76002,643,38953,Reject
79812,782,83188,Approve
52626,670,106000,Reject
89979,617,81800,Reject
106057,682,133900,Reject
96668,678,108297,Reject
110070,830,103868,Reject
119390,835,102142,Reject
72998,685,62599,Reject
93814,766,114534,Reject
75607,641,57985,Reject
37812,848,33537,Reject
91844,847,62717,Approve
100093,781,29027,Approve
32179,723,22536,Reject
73798,629,22525,Reject
104601,619,29176,Reject
38275,725,103277,Reject
80574,695,90423,Reject
77857,724,109642,Reject
50700,641,140670,Reject
69464,688,100383,Reject
72351,686,96788,Reject
112534,604,90013,Reject
43869,649,144326,Reject
90315,640,37755,Reject
50954,693,39608,Reject
61555,839,136562,Reject
93353,766,79843,Approve
112190,656,72513,Reject
75026,818,101631,Reject
76976,784,91640,Approve
110578,833,119446,Reject
75095,764,40693,Approve
44270,734,77908,Reject
60908,732,114939,Reject
45523,806,32726,Reject
92433,650,26898,Reject
77068,705,103508,Reject
49991,735,64945,Reject
40775,783,65684,Reject
107801,800,139686,Reject
114995,610,127966,Reject
91250,749,64874,Approve
46673,697,145993,Reject
57056,698,98218,Reject
36614,804,89878,Reject
37415,738,68008,Reject
118691,787,23362,Approve
73884,695,100119,Reject
46964,705,54404,Reject
67726,742,133238,Reject
67044,765,31104,Approve
87149,600,46048,Reject
67544,645,140915,Reject
79976,841,133412,Reject
62252,687,37628,Reject
33832,770,97465,Reject
110437,831,112210,Reject
64148,621,129093,Reject
91240,602,141602,Reject
118454,741,33268,Approve
115076,729,107226,Reject
107116,660,115756,Reject
83459,759,84734,Approve
68402,839,30704,Approve
87727,637,90050,Reject
68578,824,132726,Reject
52318,645,44834,Reject
105715,769,68308,Approve
107787,733,104278,Reject
115029,640,116428,Reject
50466,830,80737,Approve
75475,752,81122,Approve
90142,825,113523,Reject
115160,738,58383,Approve
56564,709,70420,Approve
52412,828,143819,Reject
81001,640,34840,Reject
87649,798,120680,Reject
90957,656,146831,Reject
65517,773,44771,Approve
43156,722,48733,Reject
53064,839,39480,Approve
55711,685,105555,Reject
60106,775,36945,Approve
95458,662,31641,Reject
46589,638,35232,Reject
119272,737,64326,Approve
116511,812,96851,Approve
37214,797,63851,Reject
115731,840,44615,Approve
57127,792,144647,Reject
35141,825,142427,Reject
58884,786,43255,Approve
32708,805,50709,Reject
48375,763,120808,Reject
45088,626,76173,Reject
87615,800,107891,Reject
75046,782,77028,Approve
40014,797,110899,Reject
94425,822,30068,Approve
33273,680,138785,Reject
77135,780,127988,Reject
60881,706,62089,Approve
108077,787,128759,Reject
38712,788,65832,Reject
104704,635,26822,Reject
82874,684,140566,Reject
99087,754,40893,Approve
42297,768,146901,Reject
57128,627,98033,Reject
98368,615,117337,Reject
117599,634,34251,Reject
118499,763,108106,Reject
108958,783,63145,Approve
62920,698,144524,Reject
41156,836,105480,Reject
41108,746,91215,Reject
61845,784,71837,Approve
32800,812,59380,Reject
72712,721,41205,Approve
32610,760,101808,Reject
107603,622,76959,Reject
63872,718,86948,Approve
40728,662,135909,Reject
50583,669,87785,Reject
115774,823,87775,Approve
37263,749,73354,Reject
97450,794,126177,Reject
119285,826,98150,Approve
49456,679,108813,Reject
95942,833,94371,Approve
43689,658,49028,Reject
62934,752,84082,Approve
63276,616,79892,Reject
49873,638,140091,Reject
43050,676,34803,Reject
96216,691,98331,Reject
114444,802,146685,Reject
114040,801,132745,Reject
51644,766,35653,Approve
92021,623,123489,Reject
67125,765,40674,Approve
96899,687,131803,Reject
72291,824,106062,Reject
65060,808,62345,Approve
31538,784,59920,Reject
66176,643,52614,Reject
71520,635,38968,Reject
55675,698,103521,Reject
48287,669,132102,Reject
30174,721,139630,Reject
64998,723,74850,Approve
83312,679,82148,Reject
42112,644,80661,Reject
105225,819,37191,Approve
74814,832,129155,Reject
115091,823,142033,Reject
80719,753,126610,Reject
63919,738,137415,Reject
103155,779,131222,Reject
101569,752,117444,Reject
71328,630,79610,Reject
100482,684,65252,Reject
54618,644,114608,Reject
64675,846,32093,Approve
48919,714,93701,Reject
34173,666,133388,Reject
56400,675,129224,Reject
80445,842,132631,Reject
100305,639,106091,Reject
67564,773,46025,Approve
75814,781,98110,Approve
109747,640,54336,Reject
118791,816,111434,Reject
57962,719,45436,Approve
114892,680,135429,Reject
115842,637,62690,Reject
100533,699,108357,Reject
86184,763,90440,Approve
112912,810,121237,Reject
40578,771,48094,Reject
48624,656,83399,Reject
69194,665,24509,Reject
30389,808,90062,Reject
97391,629,58677,Reject
43794,838,74501,Reject
88002,609,55935,Reject
65531,826,95646,Approve
82815,660,142294,Reject
34986,790,136906,Reject
62298,843,119644,Reject
31481,635,142697,Reject
86408,653,139327,Reject
99267,696,87050,Reject
46835,792,37795,Reject
57798,809,113148,Reject
94887,603,60492,Reject
49477,782,24167,Reject
47266,653,102942,Reject
116328,710,114739,Reject
115988,690,128782,Reject
73526,688,71910,Reject
41889,663,114784,Reject
54335,718,130267,Reject
41254,691,29304,Reject
116610,844,79289,Approve
41442,749,24808,Reject
76289,833,144438,Reject
83747,752,113991,Reject
67327,680,94369,Reject
46199,658,51897,Reject
102827,784,125037,Reject
30112,781,95965,Reject
117051,643,24907,Reject
49581,779,97214,Reject
89722,675,88761,Reject
46523,743,21014,Reject
96960,700,92304,Reject
49552,724,123762,Reject
40808,615,87557,Reject
102525,808,71828,Approve
53620,654,78884,Reject
30887,788,129432,Reject
61802,694,148837,Reject
115024,678,121410,Reject
111938,676,127279,Reject
116741,639,94398,Reject
56049,818,129265,Reject
107789,620,129069,Reject
114526,665,88120,Reject
37846,735,24942,Reject
76220,833,82681,Approve
76163,798,119581,Reject
33765,609,121347,Reject
111486,784,27370,Approve
75270,731,64132,Approve
105277,642,33672,Reject
118278,704,140548,Reject
52931,827,72934,Approve
119116,826,76209,Approve
85633,662,93905,Reject
110702,770,28467,Approve
81913,794,46935,Approve
55991,849,66721,Approve
84845,681,105401,Reject
85312,849,82230,Approve
40561,650,31551,Reject
46901,837,74924,Reject
92875,655,68652,Reject
55917,770,62384,Approve
92120,751,74488,Approve
31988,823,116953,Reject
44256,633,68597,Reject
117728,658,73274,Reject
58230,729,137648,Reject
89778,729,27897,Approve
75833,737,88005,Approve
52625,750,113197,Reject
62088,742,67604,Approve
109650,717,117933,Reject
71167,803,59819,Approve
101291,727,128868,Reject
95303,834,138756,Reject
106361,616,107363,Reject
118229,681,29782,Reject
34117,613,50398,Reject
90710,680,73532,Reject
97054,806,45688,Approve
60949,803,45644,Approve
52547,722,101539,Reject
111882,615,120849,Reject
98136,631,147887,Reject
94619,622,60433,Reject
91842,701,40033,Approve
56990,761,70966,Approve
46193,697,23907,Reject
60109,743,56499,Approve
49233,761,112304,Reject
111730,703,100819,Reject
64510,725,93221,Approve
31306,798,28273,Reject
33849,760,82419,Reject
42360,667,64666,Reject
75800,770,33478,Approve
66963,663,115980,Reject
84330,843,96904,Approve
81707,670,95553,Reject
48689,617,133127,Reject
59084,795,140557,Reject
70387,712,131925,Reject
104816,724,116215,Reject
32642,726,28273,Reject
72137,660,69245,Reject
109832,674,110106,Reject
85561,706,66400,Approve
92260,747,118646,Reject
45438,738,59708,Reject
78442,806,52552,Approve
32994,773,71560,Reject
31813,791,46430,Reject
114381,680,48575,Reject
85276,825,78433,Approve
71243,841,69775,Approve
92912,839,119171,Reject
90272,803,63436,Approve
72051,705,72624,Approve
108854,627,52938,Reject
112736,775,46358,Approve
95618,762,28769,Approve
31920,607,93795,Reject
107219,690,119819,Reject
106872,749,115265,Reject
111132,845,93728,Approve
32093,720,120502,Reject
42905,751,37285,Reject
54351,665,42287,Reject
60981,694,67361,Reject
103903,813,65805,Approve
100821,663,51347,Reject
112289,664,126059,Reject
114021,724,28986,Approve
108513,613,22066,Reject
49874,624,62779,Reject
80931,827,116290,Reject
37674,699,77714,Reject
80516,704,104458,Reject
90686,730,122211,Reject
99212,732,76112,Approve
32426,664,133904,Reject
98498,781,128550,Reject
59943,618,120900,Reject
96395,824,130962,Reject
74816,705,79032,Approve
34138,653,114964,Reject
105945,821,39705,Approve
34017,803,127634,Reject
40451,737,44104,Reject
92956,825,115568,Reject
40278,743,120925,Reject
73764,703,96456,Approve
31134,773,62125,Reject
92943,756,78852,Approve
84318,614,132053,Reject
90128,647,122145,Reject
118056,738,99959,Approve
51869,835,57326,Approve
35039,633,118226,Reject
51281,763,65536,Approve
40442,757,74070,Reject
103788,698,45099,Reject
57586,800,145138,Reject
83053,809,122643,Reject
80489,618,53006,Reject
113104,830,135908,Reject
116346,795,135456,Reject
97087,669,44810,Reject
42625,714,108250,Reject
64397,760,145640,Reject
88671,695,117894,Reject
96897,807,117569,Reject
56149,674,27388,Reject
90030,749,139280,Reject
99906,635,111631,Reject
35283,841,79247,Reject
37610,750,95962,Reject
73326,662,93153,Reject
44924,753,60850,Reject
106162,787,125883,Reject
30869,822,99458,Reject
31014,692,45511,Reject
40103,604,78612,Reject
112522,781,59224,Approve
63458,765,45394,Approve
112409,789,113679,Reject
53248,624,73269,Reject
119160,697,79459,Reject
73516,611,87975,Reject
59061,749,113499,Reject
54170,736,143968,Reject
38024,683,30019,Reject
112214,628,42470,Reject
115947,771,73976,Approve
73803,820,145468,Reject
49296,708,112727,Reject
116664,626,128369,Reject
48257,845,68003,Reject
42855,654,130803,Reject
115178,808,111885,Reject
50025,732,93927,Approve
34458,651,49658,Reject
93610,836,93905,Approve
100843,612,123846,Reject
113961,641,94658,Reject
79831,742,31928,Approve
73427,678,54804,Reject
68506,617,127981,Reject
35668,649,71243,Reject
77195,601,58318,Reject
103233,686,122567,Reject
54417,706,141118,Reject
111982,740,67812,Approve
40751,834,137072,Reject
76218,795,65048,Approve
37352,646,147561,Reject
109052,845,62875,Approve
118835,846,124630,Reject
58927,688,44591,Reject
71094,802,142351,Reject
84122,777,33891,Approve
59493,839,129430,Reject
103539,833,127332,Reject
61707,611,27721,Reject
98814,612,104077,Reject
37296,736,46152,Reject
55398,658,69457,Reject
65842,844,92659,Approve
43261,772,136741,Reject
106709,829,145770,Reject
86704,797,91348,Approve
97173,834,56112,Approve
61781,842,40840,Approve
43652,642,21208,Reject
35103,673,38242,Reject
55500,622,104623,Reject
65529,678,21971,Reject
48452,772,49795,Reject
79393,622,119417,Reject
61174,831,20983,Approve
94450,700,115477,Reject
65436,761,31502,Approve
77406,743,48577,Approve
93059,790,129267,Reject
45954,708,146032,Reject
112722,778,30354,Approve
42356,832,149299,Reject
32187,710,87663,Reject
107243,759,105559,Reject
65098,765,114386,Reject
51225,831,43860,Approve
33606,783,53328,Reject
87620,837,92188,Approve
62828,796,116515,Reject
56489,616,62769,Reject
44387,685,40771,Reject
99463,638,72084,Reject
101832,640,61250,Reject
32591,647,131133,Reject
78516,809,120213,Reject
92061,755,67867,Approve
96736,676,125534,Reject
111257,777,98417,Approve
91753,833,70580,Approve
114774,600,37331,Reject
41087,716,96255,Reject
60816,777,119652,Reject
53408,618,28572,Reject
30136,825,29896,Reject
47413,658,53077,Reject
89500,795,105334,Reject
114514,706,91325,Approve
86358,794,95226,Approve
96197,768,129390,Reject
62854,737,124872,Reject
106240,627,66221,Reject
46322,633,61620,Reject
36968,638,105367,Reject
57518,838,136961,Reject
81925,725,111609,Reject
89848,682,30264,Reject
31700,705,36049,Reject
53199,783,97164,Approve
74589,779,87678,Approve
62115,709,100379,Reject
91934,827,49236,Approve
84316,720,134479,Reject
35520,706,128101,Reject
66455,730,131791,Reject
116465,622,41123,Reject
71605,744,46007,Approve
44955,670,100361,Reject
74049,753,30142,Approve
43917,706,48498,Reject
100293,745,53226,Approve
108581,837,60348,Approve
94925,645,47524,Reject
100269,669,69489,Reject
60954,630,35298,Reject
102617,692,32135,Reject
71458,736,140138,Reject
119037,717,92916,Approve
51113,762,112125,Reject
73939,680,118002,Reject
59345,659,56788,Reject
76313,675,44920,Reject
99166,662,82015,Reject
77861,699,83010,Reject
79298,779,25643,Approve
77221,647,70094,Reject
74942,788,36729,Approve
33453,751,73046,Reject
84935,673,146199,Reject
73370,657,81039,Reject
38328,791,61284,Reject
45534,629,92146,Reject
115280,756,104058,Reject
114925,830,106309,Reject
66320,609,31804,Reject
79170,638,77867,Reject
110201,654,142514,Reject
38640,627,27816,Reject
60049,745,47473,Approve
35618,768,31932,Reject
86053,717,69410,Approve
31920,713,103030,Reject
73937,808,43709,Approve
99724,674,115725,Reject
42207,664,116441,Reject
95774,680,26487,Reject
62972,699,37204,Reject
40799,699,25988,Reject
101088,645,47364,Reject
58916,659,58403,Reject
100463,736,41048,Approve
106700,772,27093,Approve
67158,787,122908,Reject
114607,755,103483,Reject
101696,839,116271,Reject
91510,696,49196,Reject
88692,602,42727,Reject
91744,778,62167,Approve
45810,735,44884,Reject
35126,713,54607,Reject
60009,797,93211,Approve
30192,786,64312,Reject
66413,715,60769,Approve
42816,788,29575,Reject
69082,657,55074,Reject
95048,669,132534,Reject
80940,692,111292,Reject
62130,828,30664,Approve
70142,739,100650,Reject
66468,736,107060,Reject
60698,704,137374,Reject
40655,648,96695,Reject
77897,682,33299,Reject
60075,616,147325,Reject
39359,653,135648,Reject
72056,711,48032,Approve
81831,771,61397,Approve
89191,759,85991,Approve
63272,762,75919,Approve
44671,805,138505,Reject
57048,648,128065,Reject
106274,781,78447,Approve
55963,743,85498,Approve
73954,684,148451,Reject
102309,611,128114,Reject
30717,815,64572,Reject
41676,725,119816,Reject
34434,697,90274,Reject
79810,735,117802,Reject
34994,835,36775,Reject
34234,748,55389,Reject
99300,647,101254,Reject
73949,735,26176,Approve
67405,627,68263,Reject
64872,679,29112,Reject
72215,609,107639,Reject
53185,651,124345,Reject
73442,742,47033,Approve
81759,731,39984,Approve
71153,689,51742,Reject
107535,806,123514,Reject
32581,827,90044,Reject
81717,823,59210,Approve
32763,661,76806,Reject
85480,706,79132,Approve
68759,829,91752,Approve
106067,731,44269,Approve
55307,640,85796,Reject
41064,800,26833,Reject
106848,698,144893,Reject
67548,654,29527,Reject
66945,627,131550,Reject
77937,700,25944,Reject
36476,646,42518,Reject
81756,736,108795,Reject
32382,729,141516,Reject
79683,794,115396,Reject
117999,849,117095,Reject
75276,716,53102,Approve
63402,707,27669,Approve
56946,775,121083,Reject
109698,668,45379,Reject
103933,801,43712,Approve
52335,627,137125,Reject
75095,678,39191,Reject
109930,613,149906,Reject
57197,645,33259,Reject
52010,814,57958,Approve
54123,740,45516,Approve
117923,615,55931,Reject
32890,821,94630,Reject
38026,767,31624,Reject
94925,799,43872,Approve
98842,808,144148,Reject
63665,757,52791,Approve
39277,680,24652,Reject
72239,826,55516,Approve
77664,792,137138,Reject
78008,840,111508,Reject
44683,657,28095,Reject
30670,815,88893,Reject
119211,647,97632,Reject
47889,648,28095,Reject
85612,688,96216,Reject
74535,729,126387,Reject
108542,816,75124,Approve
84319,613,48242,Reject
51639,702,46333,Approve
94712,720,33169,Approve
46633,842,110075,Reject
64660,824,125373,Reject
98975,744,79222,Approve
62172,722,107258,Reject
89197,758,38916,Approve
88847,737,146394,Reject
41577,669,58105,Reject
107299,702,89309,Approve
50176,816,68194,Approve
74386,701,79422,Approve
93972,764,75617,Approve
119791,663,115481,Reject
71003,757,41045,Approve
49996,761,87593,Reject
116598,617,37061,Reject
65931,815,98674,Approve
65710,662,55742,Reject
64693,648,44860,Reject
65740,655,145080,Reject
107241,690,101439,Reject
106502,657,74800,Reject
47374,754,114578,Reject
106674,654,59212,Reject
111471,830,38224,Approve
75913,684,87414,Reject
96025,618,124593,Reject
74516,830,95338,Approve
117796,750,48538,Approve
56069,702,134299,Reject
86233,711,109139,Reject
114811,707,134067,Reject
89049,646,35037,Reject
69178,806,147116,Reject
62821,706,146039,Reject
81727,793,31690,Approve
90935,826,30323,Approve
46999,778,23314,Reject
92522,683,66185,Reject
68712,755,148603,Reject
94551,727,54146,Approve
70172,784,34356,Approve
63722,657,96805,Reject
40625,742,129510,Reject
97165,743,25340,Approve
106509,696,64852,Reject
36859,646,82550,Reject
71609,790,62675,Approve
73307,739,118756,Reject
51839,702,126837,Reject
57216,830,20392,Approve
82953,770,91007,Approve
114481,683,70421,Reject
90593,756,28137,Approve
102075,834,33997,Approve
79522,648,104970,Reject
34886,730,141968,Reject
37485,711,146939,Reject
61455,796,127466,Reject
46767,659,50278,Reject
58453,665,30397,Reject
106280,686,51530,Reject
83442,725,68364,Approve
81877,817,24794,Approve
42226,625,109330,Reject
52588,670,102085,Reject
108976,673,149057,Reject
61709,796,126750,Reject
77788,646,126797,Reject
118031,675,91899,Reject
67019,695,129599,Reject
74948,769,28079,Approve
95133,630,139718,Reject
96458,621,97568,Reject
57526,616,129052,Reject
103493,811,87041,Approve
82198,747,29448,Approve
73395,834,98776,Approve
54031,735,79606,Approve
105542,838,60177,Approve
67701,697,139028,Reject
55939,648,116275,Reject
79145,686,52977,Reject
50324,637,40177,Reject
52867,652,73673,Reject
30203,627,39431,Reject
46544,676,135668,Reject
45899,756,87655,Reject
59063,799,138433,Reject
33748,738,20177,Reject
96629,774,119850,Reject
110764,772,132490,Reject
50884,617,30226,Reject
55183,649,110410,Reject
111570,688,116521,Reject
101246,776,112679,Reject
49259,749,138254,Reject
65959,644,32231,Reject
63457,788,69426,Approve
115679,826,99552,Approve
32103,726,99670,Reject
95901,692,72147,Reject
74535,620,34082,Reject
46103,847,134740,Reject
108278,798,149835,Reject
42391,788,93311,Reject
58901,675,36175,Reject
111159,763,34133,Approve
97914,751,127919,Reject
80357,759,82877,Approve
116908,690,134672,Reject
68437,823,136315,Reject
65503,786,42427,Approve
105403,695,142511,Reject
71258,695,77832,Reject
63724,817,34837,Approve
94286,674,30546,Reject
104842,709,110528,Reject
44908,681,30748,Reject
80626,727,111032,Reject
67228,702,87089,Approve
53386,732,80029,Approve
76754,743,45241,Approve
58302,738,81445,Approve
90815,845,22469,Approve
114748,634,69067,Reject
93344,711,21474,Approve
65618,802,68554,Approve
106234,769,51109,Approve
91114,686,42861,Reject
100130,718,132063,Reject
55525,697,53105,Reject
109818,839,125295,Reject
44334,680,129655,Reject
92767,737,77612,Approve
36644,681,149088,Reject
62933,835,149701,Reject
73469,735,119391,Reject
63687,625,119597,Reject
82656,602,127152,Reject
47375,658,115608,Reject
95206,715,91500,Approve
66607,815,55596,Approve
113178,730,92008,Approve
53993,765,105893,Reject
74386,729,108581,Reject
76287,826,148632,Reject
116724,744,139645,Reject
106312,800,92100,Approve
105324,635,21336,Reject
101196,685,63316,Reject
100014,822,67917,Approve
38210,846,100717,Reject
40922,697,54435,Reject
66289,815,136513,Reject
63340,723,149985,Reject
69850,672,114142,Reject
86984,709,86748,Approve
114178,721,22768,Approve
41094,834,115273,Reject
117959,729,84077,Approve
63418,812,130911,Reject
35741,761,47634,Reject
102374,626,74928,Reject
98798,764,69596,Approve
100532,798,95125,Approve
52164,749,73533,Approve
65595,667,112330,Reject
60257,613,56444,Reject
44211,697,104230,Reject
35232,622,138728,Reject
97753,771,92621,Approve
82691,833,146486,Reject
119765,816,38211,Approve
109768,792,42669,Approve
55613,714,105139,Reject
44026,846,74711,Reject
83535,711,108691,Reject
60908,806,122992,Reject
82113,695,90047,Reject
49610,677,103992,Reject
76646,832,108690,Reject
93185,660,114301,Reject
102567,684,132944,Reject
77574,782,75480,Approve
66182,838,104250,Reject
30570,849,131770,Reject
49288,670,53453,Reject
108824,827,139646,Reject
59877,684,53452,Reject
114425,649,67769,Reject
30917,831,148013,Reject
105602,739,113049,Reject
94575,806,117071,Reject
102518,614,113823,Reject
69104,744,28532,Approve
48062,633,32891,Reject
46999,835,83246,Reject
91845,634,53501,Reject
39941,638,21496,Reject
91169,829,35154,Approve
53470,805,146773,Reject
89821,782,96682,Approve
116669,786,78475,Approve
74435,732,25450,Approve
34529,629,57403,Reject
113055,731,149462,Reject
42192,742,103652,Reject
104102,702,129531,Reject
102762,762,66791,Approve
116795,836,47289,Approve
64087,673,75679,Reject
96677,654,43109,Reject
34627,793,124607,Reject
86541,835,63439,Approve
98226,659,44415,Reject
33255,623,103339,Reject
87433,819,30181,Approve
35213,621,118252,Reject
49404,771,90246,Reject
55380,631,126983,Reject
49173,694,48395,Reject
83027,682,99036,Reject
53989,778,54209,Approve
54519,812,55158,Approve
52439,602,86920,Reject
106949,669,38540,Reject
44995,759,131440,Reject
53559,729,24396,Approve
119049,687,21391,Reject
35021,708,76574,Reject
51119,658,140123,Reject
81539,818,139488,Reject
69350,800,137830,Reject
76223,676,36652,Reject
55517,846,105837,Reject
108653,613,29716,Reject
52250,650,35568,Reject
114486,738,28669,Approve
112895,677,89807,Reject
119132,679,69390,Reject
96798,609,100764,Reject
84199,811,99792,Approve
89546,679,110721,Reject
118151,723,43386,Approve
33327,785,44152,Reject
59768,633,107803,Reject
94418,720,98315,Approve
72788,679,34434,Reject
112384,805,49000,Approve
76830,652,47973,Reject
82446,755,131036,Reject
45160,617,140473,Reject
86583,753,57861,Approve
63998,701,26438,Approve
57230,734,32729,Approve
39076,772,115002,Reject
99341,697,46407,Reject
61085,838,115098,Reject
85571,840,108094,Reject
44715,644,111266,Reject
35750,798,62711,Reject
108768,824,146478,Reject
65903,634,112597,Reject
102489,779,107365,Reject
62093,713,138026,Reject
117954,830,120637,Reject
64314,620,122690,Reject
78225,840,98191,Approve
117985,755,106501,Reject
113014,695,75850,Reject
65179,643,101852,Reject
55338,679,93895,Reject
99681,655,34172,Reject
62101,737,89078,Approve
32775,750,146889,Reject
75619,775,140574,Reject
75838,779,35529,Approve
49539,841,93590,Reject
87124,742,125218,Reject
95149,654,60281,Reject
56616,642,93805,Reject
109655,649,96626,Reject
84567,605,86644,Reject
67099,760,78235,Approve
105831,661,106676,Reject
91799,654,86760,Reject
55479,766,32876,Approve
76172,739,76680,Approve
85863,715,35097,Approve
72043,827,94292,Approve
112569,630,22859,Reject
45408,673,44877,Reject
87980,780,34628,Approve
112956,633,98117,Reject
46351,768,28300,Reject
34131,609,22412,Reject
74825,651,120951,Reject
41349,802,112837,Reject
90931,784,99341,Approve
74254,677,23338,Reject
68225,602,79484,Reject
42453,784,25804,Reject
48814,760,141919,Reject
48263,734,73675,Reject
107694,603,114845,Reject
45735,766,149391,Reject
45830,647,105733,Reject
77893,673,32392,Reject
74673,678,95984,Reject
119462,743,40029,Approve
75066,765,145939,Reject
33373,603,85263,Reject
40335,603,47097,Reject
53741,719,82524,Approve
40692,718,121721,Reject
77295,827,36395,Approve
75541,754,42993,Approve
64057,813,82088,Approve
96983,813,80610,Approve
49583,616,105065,Reject
52765,836,37258,Approve
89287,825,112545,Reject
53906,695,27303,Reject
115103,843,135571,Reject
109675,669,90186,Reject
76525,781,32177,Approve
68230,696,33747,Reject
49520,607,117318,Reject
115238,713,142398,Reject
81934,780,108717,Reject
55566,827,41823,Approve
103193,604,99718,Reject
60134,796,125312,Reject
40345,646,98812,Reject
71185,801,95307,Approve
100744,639,31963,Reject
