Id,Location,Size,Price
4759,Boston,640,512713
4760,Chicago,4688,1148839
4761,Denver,2433,1219541
4762,Chicago,765,883569
4763,Miami,732,1276929
4764,Austin,2554,742133
4765,Los Angeles,4740,406704
4766,San Diego,978,1048851
4767,Miami,2336,329614
4768,New York,1340,1086663
4769,Seattle,4402,1181394
4770,Denver,1533,717211
4771,New York,3274,1179303
4772,Dallas,2734,1365763
4773,Boston,3966,1466474
4774,San Diego,4135,612597
4775,Chicago,2206,1260932
4776,Dallas,2819,163868
4777,Austin,1180,391150
4778,Dallas,2728,980860
4779,Boston,3651,274055
4780,Austin,2357,593626
4781,Miami,743,623059
4782,Chicago,994,323125
4783,Denver,3962,651353
4784,Seattle,3388,705763
4785,New York,4551,421057
4786,Seattle,1278,471604
4787,Dallas,2178,1409315
4788,New York,4205,600785
4789,Los Angeles,4584,376342
4790,New York,1447,1050180
4791,Seattle,3054,498719
4792,Miami,3825,982205
4793,Austin,620,272621
4794,Los Angeles,3509,1102935
4795,New York,3747,722679
4796,Los Angeles,2005,600417
4797,Miami,1417,1446193
4798,Chicago,3954,1080917
4799,San Diego,1823,1378440
4800,Austin,711,263696
4801,Miami,1114,1083136
4802,Austin,2322,744993
4803,Boston,3123,1103597
4804,Seattle,2431,891438
4805,Los Angeles,4432,283576
4806,Los Angeles,3520,1142413
4807,San Diego,920,455533
4808,San Diego,2843,105740
4809,Chicago,4626,979465
4810,Seattle,4553,238286
4811,San Diego,639,415281
4812,Los Angeles,1749,1020175
4813,Dallas,1196,1079658
4814,Denver,2307,916293
4815,Chicago,827,218044
4816,Seattle,1454,1037410
4817,San Diego,3135,1473760
4818,Boston,2577,656354
4819,New York,1118,412208
4820,Denver,4596,113023
4821,Los Angeles,3622,206403
4822,Chicago,689,1312341
4823,Austin,950,944438
4824,Boston,2920,1449365
4825,Dallas,3320,440626
4826,Chicago,670,1287513
4827,Austin,2169,1151672
4828,Denver,4827,116888
4829,Seattle,2958,1381004
4830,Denver,2239,1343687
4831,Seattle,3753,467555
4832,Miami,1909,453286
4833,Seattle,1836,297623
4834,Los Angeles,4467,866017
4835,Los Angeles,1478,830542
4836,Denver,3040,1412172
4837,Austin,1959,1106633
4838,Seattle,845,284084
4839,San Diego,3643,490723
4840,New York,1065,220239
4841,San Diego,3696,1339530
4842,Denver,1053,635417
4843,Miami,4010,530452
4844,New York,3585,120850
4845,Seattle,1594,1309379
4846,Seattle,4871,336131
4847,Austin,4481,1115328
4848,Austin,3609,782246
4849,Chicago,2575,722808
4850,Seattle,2786,1267075
4851,Los Angeles,1893,1455477
4852,New York,1674,191838
4853,Dallas,811,1081657
4854,Seattle,1277,1276244
4855,Seattle,1554,430381
4856,New York,3102,487828
4857,Los Angeles,2117,1193658
4858,Chicago,2761,1473551
4859,Austin,1108,1475220
4860,Boston,4635,1444798
4861,Boston,2055,784161
4862,Austin,4771,875466
4863,Austin,3025,1201755
4864,Austin,3182,235309
4865,Miami,3125,817952
4866,Miami,3352,934111
4867,San Diego,974,502705
4868,Boston,3263,548536
4869,Seattle,1898,1245784
4870,Los Angeles,2346,1378741
4871,New York,3060,367752
4872,Boston,3295,1275527
4873,Boston,3215,671560
4874,New York,1026,947554
4875,Denver,1491,1395206
4876,San Diego,3792,1202580
4877,Seattle,2569,1257433
4878,Boston,1474,1053595
4879,Seattle,3171,1358685
4880,Seattle,1149,454089
4881,San Diego,3507,1399741
4882,New York,3667,906088
4883,Boston,3101,806714
4884,Seattle,4315,953196
4885,Austin,1376,1089382
4886,San Diego,893,732431
4887,Chicago,701,360776
4888,New York,1773,1153053
4889,New York,2461,667169
4890,Dallas,2040,1091890
4891,Boston,2218,297879
4892,Dallas,2637,1075766
4893,New York,730,720414
4894,Miami,803,1381945
4895,Austin,2240,467091
4896,New York,4164,269594
4897,Chicago,1388,506896
4898,Dallas,4319,809523
4899,Denver,765,403232
4900,Seattle,2225,1397550
4901,San Diego,4215,1297901
4902,Chicago,2388,437933
4903,Denver,726,463381
4904,New York,1656,788330
4905,Miami,3254,656143
4906,Miami,3619,547883
4907,Chicago,3918,1361850
4908,Los Angeles,1866,413424
4909,Denver,3659,1241322
4910,New York,4938,1451805
4911,Austin,4593,174813
4912,Los Angeles,1667,1004324
4913,Miami,2869,579098
4914,Seattle,3653,1321813
4915,Dallas,2754,1216182
4916,Miami,2373,507208
4917,Miami,3972,683151
4918,Seattle,1666,1148450
4919,Seattle,3282,947103
4920,Miami,4163,551193
4921,Los Angeles,3454,913373
4922,Dallas,1922,779699
4923,Los Angeles,659,125185
4924,Austin,3087,829572
4925,Denver,3989,813058
4926,Seattle,1942,764939
4927,Boston,4888,178806
4928,Chicago,4650,380885
4929,New York,3028,951331
4930,Chicago,1927,452991
4931,Miami,4150,1066139
4932,Los Angeles,843,575757
4933,Dallas,1461,116383
4934,Seattle,1737,1347007
4935,Los Angeles,2866,1121197
4936,Boston,2635,914226
4937,San Diego,3555,113884
4938,Denver,3586,789369
4939,Dallas,4144,376760
4940,Austin,1928,1160707
4941,Austin,2070,674439
4942,Dallas,871,1259525
4943,New York,3896,862249
4944,Seattle,888,1449835
4945,San Diego,3515,395428
4946,Miami,1925,1295137
4947,Austin,2195,561845
4948,New York,3450,457222
4949,Seattle,3112,1353614
4950,Chicago,1415,1489848
4951,Dallas,3465,1405479
4952,Miami,1477,1037979
4953,Miami,2456,601059
4954,Seattle,2080,1023663
4955,New York,2147,737676
4956,Boston,1816,977447
4957,Denver,2028,706253
4958,New York,1939,1399459
4959,New York,926,1493730
4960,Austin,746,549060
4961,Miami,1709,504793
4962,Miami,1270,105284
4963,Dallas,1588,539911
4964,San Diego,3537,1020528
4965,Denver,4088,955815
4966,Austin,1521,430215
4967,Austin,3698,587442
4968,Denver,2657,523623
4969,Denver,4873,297739
4970,Dallas,4155,429834
4971,Boston,3827,581130
4972,Los Angeles,4300,1317904
4973,Dallas,2693,287760
4974,New York,4750,731932
4975,Los Angeles,4583,920911
4976,Denver,3591,1463457
4977,Seattle,921,346131
4978,Miami,1879,663186
4979,New York,4169,1333400
4980,Los Angeles,1957,416718
4981,New York,2138,554162
4982,Dallas,2535,716822
4983,Austin,1139,1260209
4984,Denver,3629,145773
4985,Denver,4772,811878
4986,Dallas,2903,663360
4987,Chicago,1096,1092474
4988,San Diego,4819,1419867
4989,Los Angeles,3887,589353
4990,Chicago,4984,1473969
4991,San Diego,2732,492268
4992,Chicago,2135,697977
4993,Dallas,941,1249073
4994,Los Angeles,3803,1427848
4995,Los Angeles,4209,1189997
4996,Chicago,1727,624026
4997,Miami,1123,975384
4998,Miami,2566,939833
4999,Chicago,3376,1056988
5000,Chicago,2750,318705
5001,Seattle,3263,1251268
5002,San Diego,2750,212828
5003,Seattle,2316,309165
5004,Miami,4106,1466618
5005,Miami,4277,151662
5006,Seattle,2116,707205
5007,Miami,1098,1013587
5008,Austin,3002,1288405
5009,Dallas,4458,351057
5010,Boston,4000,531019
5011,Denver,1061,405284
5012,Chicago,4082,1421884
5013,San Diego,4891,976321
5014,Miami,2360,455323
5015,Chicago,3842,797805
5016,Denver,945,873873
5017,New York,3667,167193
5018,Seattle,2742,1292448
5019,Denver,3816,299449
5020,Chicago,3835,349101
5021,Seattle,3734,1205795
5022,Miami,4497,1397734
5023,Los Angeles,4193,1434644
5024,Austin,3900,1399381
5025,Austin,4087,586722
5026,Boston,3343,390099
5027,Miami,707,554435
5028,Miami,2473,1084151
5029,Chicago,2576,1249100
5030,San Diego,4901,194764
5031,Miami,4365,141015
5032,Los Angeles,3880,566501
5033,Austin,3363,1424097
5034,New York,2165,697685
5035,Denver,4834,1000589
5036,Los Angeles,1586,165569
5037,New York,4368,145853
5038,Denver,1562,576945
5039,Dallas,4538,1096499
5040,Boston,2572,696938
5041,San Diego,3307,839670
5042,Dallas,3402,498791
5043,Denver,3711,989689
5044,Miami,794,140399
5045,Seattle,4681,1415392
5046,New York,3600,469005
5047,Dallas,1940,270406
5048,Los Angeles,3061,1287844
5049,Seattle,3912,767340
5050,Miami,2067,1017309
5051,Miami,1156,481257
5052,Austin,2947,117449
5053,Denver,1255,1366151
5054,Dallas,3105,609212
5055,Miami,3398,1168754
5056,Miami,1893,478951
5057,Boston,2670,799751
5058,San Diego,2905,1091419
5059,Austin,3604,1080160
5060,Boston,4647,295602
5061,Los Angeles,3650,211063
5062,San Diego,702,1451399
5063,Los Angeles,2909,1497618
5064,San Diego,2671,858961
5065,Dallas,2323,276920
5066,Denver,1750,871014
5067,Dallas,1662,1184770
5068,Chicago,1529,1384105
5069,Austin,1125,580750
5070,Miami,3985,797204
5071,Seattle,4635,1200828
5072,Denver,4281,1332420
5073,Seattle,3523,559605
5074,Chicago,2142,752539
5075,Denver,687,484578
5076,Miami,1569,1441860
5077,Chicago,4291,459493
5078,New York,3669,620732
5079,Chicago,2890,651678
5080,San Diego,4418,511274
5081,Denver,4091,611072
5082,San Diego,3996,125269
5083,Dallas,842,464170
5084,Miami,1118,1235504
5085,Boston,3776,885156
5086,Seattle,1308,1379969
5087,San Diego,2199,1154992
5088,Austin,2203,840554
5089,Denver,3984,1420000
5090,Austin,969,1490547
5091,Boston,1196,629046
5092,Austin,2677,1493796
5093,Austin,1457,982027
5094,Seattle,3433,1383207
5095,Denver,2448,1406368
5096,Los Angeles,2758,1409093
5097,New York,1634,945232
5098,San Diego,4379,275422
5099,Seattle,4978,751235
5100,Miami,2540,1052869
5101,Dallas,1702,1225705
5102,Miami,1235,644461
5103,Chicago,1155,1098670
5104,Denver,4470,187138
5105,Denver,1538,811367
5106,Boston,2110,620477
5107,Austin,4310,1080266
5108,Austin,4722,157116
5109,Los Angeles,2727,1498051
5110,San Diego,1216,1338916
5111,Los Angeles,3451,839625
5112,Denver,4345,297288
5113,Los Angeles,776,785675
5114,Denver,3702,915691
5115,Boston,613,431577
5116,Denver,4515,1299439
5117,Denver,2269,412777
5118,San Diego,2016,1303936
5119,Dallas,2744,1163081
5120,Seattle,2629,824810
5121,Los Angeles,2157,1351774
5122,Los Angeles,1720,971724
5123,Miami,2422,263478
5124,Austin,3860,1272380
5125,Dallas,4081,1377764
5126,Los Angeles,3090,1317706
5127,Dallas,762,329541
5128,Boston,2198,221606
5129,Miami,3777,978632
5130,Seattle,743,664829
5131,San Diego,2923,343223
5132,Austin,4596,511562
5133,Chicago,1378,1018321
5134,Los Angeles,4174,977765
5135,Chicago,1602,212730
5136,Denver,3877,1098158
5137,Seattle,2955,1346762
5138,Austin,2408,1338823
5139,Seattle,2742,237192
5140,Miami,3467,1409509
5141,San Diego,2911,684310
5142,Los Angeles,1915,1325930
5143,Chicago,2233,953819
5144,Seattle,2940,1233504
5145,Dallas,3946,516286
5146,Austin,4612,1330877
5147,Chicago,2983,454278
5148,Chicago,2928,1358845
5149,Boston,2627,181005
5150,San Diego,4699,400580
5151,Chicago,3064,1439321
5152,Seattle,2984,215886
5153,Austin,3750,376932
5154,Austin,3308,784455
5155,Austin,4719,1051615
5156,Seattle,1543,1002422
5157,Dallas,4760,1377174
5158,San Diego,3009,611875
5159,Austin,1227,1469549
5160,Seattle,4101,1311572
5161,Denver,2313,325394
5162,Austin,4742,333161
5163,Los Angeles,647,552335
5164,San Diego,3903,224120
5165,New York,755,1235371
5166,New York,2006,1309477
5167,Austin,4340,897610
5168,San Diego,4754,806756
5169,Denver,988,364730
5170,San Diego,2932,1458537
5171,Chicago,1767,955576
5172,Austin,3141,930811
5173,Los Angeles,1758,885845
5174,Seattle,3470,1113220
5175,Miami,698,756387
5176,San Diego,734,1361504
5177,Dallas,2771,1461919
5178,San Diego,3642,1483771
5179,Chicago,4443,1241894
5180,Miami,4804,874107
5181,Chicago,645,951713
5182,Austin,1656,1126949
5183,San Diego,1103,1194230
5184,Los Angeles,1282,136842
5185,Denver,663,1290594
5186,Miami,1213,855934
5187,Denver,2688,1364841
5188,San Diego,2443,1334907
5189,Denver,1525,508965
5190,New York,1308,505704
5191,New York,803,659275
5192,Austin,3139,1246325
5193,Los Angeles,1234,157179
5194,Denver,1147,132022
5195,Seattle,3377,840756
5196,Dallas,4532,238517
5197,Seattle,2434,421630
5198,Los Angeles,1695,492498
5199,Los Angeles,3150,274487
5200,Seattle,4218,589884
5201,Miami,1766,1221491
5202,Denver,647,515002
5203,Miami,1803,308192
5204,Austin,3139,776173
5205,Seattle,2688,378436
5206,Miami,3020,823262
5207,Austin,1782,667317
5208,New York,4874,709919
5209,Miami,3554,772879
5210,Austin,2911,1102261
5211,Dallas,2984,912962
5212,New York,4394,363529
5213,Denver,2925,993177
5214,Los Angeles,3944,1181825
5215,Boston,1134,952857
5216,Denver,2683,528338
5217,Austin,1390,726303
5218,Austin,1180,1010606
5219,Austin,3909,602376
5220,Boston,864,1098568
5221,Los Angeles,4292,985253
5222,Dallas,889,830611
5223,Austin,4841,388450
5224,Seattle,2821,826064
5225,Chicago,1190,514779
5226,San Diego,628,1247518
5227,Seattle,3511,355425
5228,Dallas,3580,253903
5229,Chicago,4999,850566
5230,Denver,2860,1260881
5231,Denver,3624,258266
5232,San Diego,2052,423221
5233,Chicago,3530,318525
5234,San Diego,3812,356493
5235,Miami,4136,348496
5236,New York,1878,1382340
5237,New York,1152,558137
5238,Miami,2110,535051
5239,Austin,1712,1147400
5240,Miami,747,1446310
5241,Miami,938,116380
5242,Dallas,2130,1151888
5243,Seattle,4195,121989
5244,Denver,1239,595405
5245,Dallas,629,155404
5246,New York,2232,839300
5247,Denver,3968,522896
5248,Chicago,2144,1295915
5249,Chicago,2637,1048201
5250,Dallas,2978,920006
5251,Chicago,4449,861911
5252,Chicago,1294,1221709
5253,Dallas,2595,206053
5254,San Diego,4278,664029
5255,Dallas,1887,1276007
5256,New York,4518,293014
5257,Boston,764,571649
5258,Miami,4948,1012926
5259,Seattle,2881,726509
5260,Chicago,4956,744954
5261,Denver,2700,1278443
5262,San Diego,3809,804285
5263,Chicago,2223,1047288
5264,Miami,4390,1241977
5265,Miami,833,606452
5266,Austin,1176,371574
5267,Los Angeles,710,784580
5268,Los Angeles,915,805768
5269,San Diego,3572,1329849
5270,Dallas,905,1428603
5271,Denver,2881,339886
5272,Seattle,3172,339423
5273,New York,3158,1209967
5274,Boston,2452,1357462
5275,Denver,2271,616956
5276,Chicago,4339,1202928
5277,Miami,1396,721907
5278,San Diego,2393,1012835
5279,Boston,4170,770993
5280,Dallas,4888,1417278
5281,New York,3381,1051990
5282,Austin,3891,349845
5283,Boston,1434,1142160
5284,Austin,2305,1342736
5285,Denver,2365,585340
5286,Dallas,4433,363908
5287,Miami,3537,1488774
5288,Austin,3800,1044608
5289,Boston,872,589430
5290,Seattle,1642,669350
5291,Los Angeles,4771,825711
5292,Austin,3686,117201
5293,Boston,1537,648755
5294,Seattle,2957,427824
5295,Austin,678,835452
5296,San Diego,2663,516523
5297,Dallas,4155,1205240
5298,Dallas,3099,1330998
5299,Chicago,4831,260607
5300,Boston,2209,496305
5301,San Diego,3004,1346999
5302,Denver,1263,272086
5303,Seattle,2126,1040341
5304,San Diego,1326,1483680
5305,San Diego,614,941005
5306,Dallas,4140,846881
5307,Austin,2954,609818
5308,San Diego,4323,769970
5309,Dallas,3969,673692
5310,Austin,762,886743
5311,Los Angeles,1332,126995
5312,San Diego,2932,418245
5313,Austin,869,1445141
5314,Denver,4837,494385
5315,Chicago,2620,631596
5316,Dallas,2415,1466959
5317,Dallas,2154,892985
5318,San Diego,4838,716586
5319,Dallas,2960,1331003
5320,Denver,917,1330897
5321,New York,2247,244189
5322,Denver,631,744902
5323,Denver,4424,236939
5324,San Diego,2277,153022
5325,Los Angeles,3659,823189
5326,New York,1297,266883
5327,Boston,3212,1230708
5328,Chicago,3138,486604
5329,San Diego,1632,1082044
5330,Los Angeles,2128,742650
5331,Miami,1087,1330770
5332,San Diego,3625,912964
5333,San Diego,775,940654
5334,New York,1660,1391467
5335,Dallas,4356,614480
5336,New York,1255,899369
5337,Los Angeles,3120,1476933
5338,New York,4490,1362198
5339,Miami,1675,1083325
5340,Los Angeles,2995,359384
5341,Dallas,1799,930262
5342,Dallas,4764,1362656
5343,Denver,742,415836
5344,Chicago,3821,1412291
5345,Seattle,2299,834064
5346,Denver,1776,856804
5347,San Diego,1126,1308614
5348,Chicago,4667,672322
5349,Boston,4563,199322
5350,Los Angeles,4575,431988
5351,Denver,2884,404884
5352,Seattle,2351,1161255
5353,Los Angeles,4828,1485163
5354,Seattle,2468,810165
5355,Los Angeles,2724,476457
5356,Denver,660,1396443
5357,Dallas,4463,525629
5358,Seattle,1699,877829
5359,Dallas,1403,602408
5360,Boston,2630,1359494
5361,Los Angeles,3448,759556
5362,Austin,4393,1023121
5363,Boston,1864,1155774
5364,New York,2019,416277
5365,Chicago,3276,997289
5366,Austin,4062,664350
5367,Denver,1984,554419
5368,San Diego,1473,533519
5369,Chicago,1963,1471887
5370,Dallas,4391,1252539
5371,Boston,4341,329248
5372,Denver,3314,1037654
5373,Miami,4712,1420098
5374,San Diego,2351,258433
5375,New York,1870,1209794
5376,New York,3001,1165584
5377,New York,4750,1346838
5378,San Diego,1322,605923
5379,Dallas,3881,655353
5380,New York,1171,311130
5381,Boston,607,162424
5382,Chicago,1948,425787
5383,Miami,2949,1342730
5384,San Diego,3197,1013862
5385,Seattle,2885,673631
5386,Austin,3366,1284571
5387,New York,4919,517333
5388,Boston,1288,781266
5389,Los Angeles,1538,1082801
5390,Seattle,2470,338193
5391,Seattle,1745,302130
5392,Denver,4885,721964
5393,Boston,4468,1396853
5394,Miami,3300,1144297
5395,Dallas,1853,1334117
5396,Dallas,3088,611917
5397,Chicago,2923,131007
5398,New York,2411,462419
5399,Seattle,641,1197051
5400,Dallas,4994,124720
5401,Los Angeles,4448,213835
5402,Boston,1609,1142603
5403,Seattle,3807,1387332
5404,Los Angeles,4014,432128
5405,Los Angeles,3866,918246
5406,San Diego,3207,1251389
5407,Denver,2476,161056
5408,Los Angeles,892,1266894
5409,Boston,3434,219906
5410,Dallas,1444,908368
5411,San Diego,2142,729665
5412,Miami,2767,1253789
5413,Miami,1541,1190438
5414,Seattle,836,157328
5415,San Diego,1276,1048068
5416,Seattle,2210,504875
5417,Chicago,1063,107353
5418,New York,1776,967192
5419,New York,988,858626
5420,Los Angeles,4864,1433690
5421,San Diego,891,697821
5422,Dallas,3361,361921
5423,Seattle,2691,405339
5424,Denver,4686,153167
5425,Austin,1324,1301815
5426,Miami,2375,336151
5427,Seattle,1524,369063
5428,Austin,1606,1212302
5429,New York,4215,799725
5430,Los Angeles,2752,1458692
5431,Austin,3128,1429200
5432,Chicago,4039,368021
5433,San Diego,1340,1077424
5434,San Diego,2886,1146447
5435,Los Angeles,3922,669058
5436,Seattle,4093,916128
5437,Chicago,1195,219405
5438,Chicago,4460,802022
5439,Los Angeles,1384,449921
5440,Los Angeles,2293,946443
5441,Seattle,1403,1293789
5442,New York,2511,1404883
5443,San Diego,3359,1008732
5444,New York,2555,1143107
5445,Seattle,2696,1433890
5446,Miami,1563,451495
5447,Seattle,4585,977720
5448,Austin,2879,190549
5449,Boston,932,882575
5450,Denver,1474,643301
5451,San Diego,3852,1348145
5452,Chicago,3487,686305
5453,Miami,4302,1041174
5454,Dallas,2812,442322
5455,Boston,2656,1455913
5456,Austin,1606,1297145
5457,Austin,628,371403
5458,Los Angeles,2527,1483685
5459,Seattle,1389,1122469
5460,Chicago,943,1035346
5461,Chicago,912,742811
5462,Dallas,4404,776655
5463,Denver,603,470862
5464,Miami,4699,772125
5465,Austin,3629,411081
5466,Miami,2534,1453223
5467,Denver,1642,409679
5468,Dallas,4433,1383863
5469,San Diego,827,1358840
5470,Denver,3456,533107
5471,Austin,2684,1490961
5472,Denver,1307,867182
5473,Los Angeles,4844,1037552
5474,San Diego,1213,1163590
5475,Boston,2240,806332
5476,Boston,2501,281224
5477,Seattle,4779,1103897
5478,Chicago,4445,395076
5479,Miami,2291,283136
5480,Seattle,2276,1099902
5481,Boston,1899,936794
5482,San Diego,3619,1463395
5483,Austin,2249,559204
5484,Los Angeles,927,1494104
5485,Miami,3727,859373
5486,New York,1220,848272
5487,San Diego,2639,1107820
5488,New York,1889,1404105
5489,Dallas,1514,1331349
5490,Dallas,1399,1222636
5491,Seattle,3553,1297187
5492,New York,4472,1385820
5493,Denver,3199,854687
5494,Chicago,2811,479340
5495,Chicago,1666,1034347
5496,Chicago,2075,934538
5497,Seattle,4675,168275
5498,Boston,2858,1468671
5499,Boston,2290,754828
5500,New York,1595,233646
5501,Miami,3129,249579
5502,Austin,1904,236684
5503,Boston,801,509133
5504,Chicago,2332,707643
5505,San Diego,4732,1009213
5506,Austin,3824,483772
5507,San Diego,3972,1435939
5508,Dallas,1761,1037694
5509,Seattle,2660,494690
5510,Boston,2546,341549
5511,Boston,4870,1123605
5512,San Diego,2756,923461
5513,New York,1398,514900
5514,Austin,3393,217969
5515,Seattle,4249,345722
5516,New York,1174,1125072
5517,Austin,4691,539913
5518,San Diego,2248,352446
5519,Austin,2836,537540
5520,Denver,2682,1236810
5521,Seattle,4884,1316309
5522,Dallas,3140,720616
5523,Denver,998,920359
5524,Austin,4615,1390933
5525,Seattle,1862,1320552
5526,Dallas,3146,564597
5527,San Diego,4354,1206946
5528,Dallas,2891,1254637
5529,Boston,1175,1063417
5530,Miami,2487,1125637
5531,Miami,1298,1303763
5532,Chicago,4881,133727
5533,Dallas,2119,161775
5534,New York,3483,474179
5535,Dallas,3262,1365803
5536,Denver,1982,1050620
5537,Boston,672,1171867
5538,Boston,4286,418857
5539,San Diego,4165,929200
5540,Seattle,1808,162131
5541,Chicago,4700,692864
5542,Miami,649,235088
5543,Boston,3564,1003761
5544,Miami,2687,1217910
5545,Seattle,2721,236126
5546,Los Angeles,4406,273240
5547,Miami,2235,1062359
5548,Dallas,3885,566794
5549,San Diego,3296,930047
5550,San Diego,2759,1325397
5551,Chicago,3275,707773
5552,Chicago,2741,1498705
5553,Denver,3927,1157635
5554,Denver,1169,206945
5555,Dallas,3441,195431
5556,San Diego,3513,1383996
5557,San Diego,4624,152329
5558,Boston,1062,959989
5559,Denver,4579,856069
5560,Boston,1690,363139
5561,Dallas,2871,493052
5562,San Diego,3610,827279
5563,San Diego,4704,211805
5564,San Diego,3091,401440
5565,New York,4130,272288
5566,Chicago,3226,1244910
5567,Chicago,1856,1381117
5568,Boston,927,1302892
5569,Denver,2979,499229
5570,Miami,4634,1129461
5571,Dallas,4736,1480269
5572,New York,654,1078383
5573,Dallas,1009,848911
5574,Miami,2303,1095047
5575,New York,1865,983114
5576,Miami,1780,247865
5577,Chicago,3732,969825
5578,Dallas,4674,562723
5579,Miami,3370,1084150
5580,San Diego,4446,1003739
5581,Denver,1808,1148946
5582,Boston,1759,340828
5583,Dallas,4792,943986
5584,Boston,2635,485797
5585,Chicago,4341,974241
5586,Seattle,3868,172256
5587,Boston,3207,325111
5588,Seattle,819,376486
5589,Denver,2115,1354219
5590,Denver,3408,531917
5591,New York,2353,1033250
5592,Seattle,1212,706312
5593,Boston,1433,748962
5594,Austin,1330,370687
5595,Miami,3528,229574
5596,Seattle,3107,489073
5597,Denver,2166,249243
5598,Los Angeles,918,701408
5599,Los Angeles,2064,559384
5600,New York,3712,307504
5601,San Diego,906,1267203
5602,San Diego,2264,680647
5603,Chicago,2483,890471
5604,Dallas,4763,385792
5605,Denver,1547,433187
5606,New York,967,1241304
5607,Seattle,3632,193523
5608,Austin,2762,446984
5609,Dallas,4303,676596
5610,Miami,3453,459489
5611,Los Angeles,3345,327308
5612,Chicago,4800,1166278
5613,Chicago,3708,1067177
5614,Miami,3697,588911
5615,Chicago,903,1111357
5616,Denver,3859,880282
5617,Los Angeles,3413,876943
5618,New York,715,744342
5619,Denver,3634,1101034
5620,Boston,4612,798635
5621,Denver,3196,656377
5622,Miami,4504,1471028
5623,Seattle,2300,1455389
5624,Dallas,1303,322866
5625,Boston,4204,1468657
5626,Dallas,4558,480159
5627,Los Angeles,2799,499558
5628,Dallas,2836,1403958
5629,Los Angeles,1453,341074
5630,Austin,3589,166818
5631,Miami,2574,1032681
5632,Miami,4634,702355
5633,Denver,951,319266
5634,Chicago,4488,446271
5635,Denver,1404,1095947
5636,Denver,3471,457551
5637,San Diego,953,939708
5638,Denver,3258,613892
5639,Chicago,3125,396234
5640,Los Angeles,4175,1120969
5641,Chicago,3757,1282834
5642,Dallas,1209,1453031
5643,San Diego,1600,593577
5644,New York,2151,1321671
5645,Austin,1334,1256625
5646,Denver,2077,826821
5647,Dallas,1146,1341709
5648,Miami,2953,491818
5649,Chicago,4283,1288796
5650,Chicago,4861,1173345
5651,New York,1355,724303
5652,Denver,3596,1382374
5653,Los Angeles,3719,778666
5654,Seattle,2066,842172
5655,Chicago,3149,920744
5656,Denver,1143,1092198
5657,Seattle,3869,551534
5658,Chicago,1287,1306919
5659,Dallas,4907,340830
5660,Dallas,1530,284994
5661,Austin,1960,489874
5662,Dallas,3333,998291
5663,Los Angeles,1227,964636
5664,Dallas,1313,1057241
5665,Dallas,757,652620
5666,Boston,2672,1027778
5667,Miami,653,1062355
5668,Chicago,1130,1249452
5669,New York,2674,1046307
5670,Boston,4160,1373830
5671,Seattle,1633,1096778
5672,New York,2225,790047
5673,Dallas,2191,1301869
5674,New York,3525,1029721
5675,Los Angeles,4197,930832
5676,Los Angeles,1832,1351802
5677,Miami,607,103742
5678,Chicago,4503,550942
5679,Seattle,3731,955989
5680,Miami,2720,676231
5681,Denver,4092,674364
5682,Boston,2200,852795
5683,Chicago,1644,475749
5684,Los Angeles,3242,1103455
5685,Denver,2893,980805
5686,New York,3470,431510
5687,Dallas,2294,839086
5688,Boston,2463,1036312
5689,Chicago,3462,694206
5690,New York,3960,1006367
5691,Los Angeles,2858,834653
5692,Chicago,2645,1168337
5693,Seattle,2620,704273
5694,Dallas,3180,1406006
5695,Dallas,4978,570743
5696,Chicago,3051,1220127
5697,Dallas,1466,561427
5698,Austin,4351,322985
5699,New York,4837,1269992
5700,Denver,2775,1329530
5701,New York,4811,320414
5702,Miami,4970,823164
5703,Los Angeles,1069,1231939
5704,Boston,4821,332105
5705,Los Angeles,4782,1021701
5706,New York,4295,1185413
5707,New York,1164,250997
5708,Austin,2422,247817
5709,Miami,1154,1437809
5710,Denver,4867,394901
5711,San Diego,4281,1429717
5712,Seattle,4465,1381441
5713,Seattle,1235,1279256
5714,Austin,3551,568452
5715,San Diego,4441,123435
5716,Los Angeles,1484,1006761
5717,Dallas,3567,1220116
5718,Dallas,4536,341381
5719,Miami,1486,1276396
5720,Austin,1159,828027
5721,New York,3099,233950
5722,Seattle,3603,622886
5723,New York,2147,672358
5724,Chicago,1683,645422
5725,San Diego,2236,1295496
5726,Denver,4556,1198861
5727,Seattle,4055,459723
5728,Los Angeles,1781,251185
5729,New York,1955,910861
5730,Miami,2808,1486003
5731,Miami,1347,527833
5732,Boston,3267,580837
5733,Chicago,4445,1447774
5734,Boston,4196,470538
5735,Dallas,1014,1241871
5736,Miami,837,290620
5737,Chicago,2740,303536
5738,Boston,1537,1237307
5739,Denver,607,1371571
5740,San Diego,2322,189724
5741,Denver,4208,1162064
5742,Los Angeles,2963,1494337
5743,San Diego,3113,1176533
5744,Dallas,4641,261546
5745,San Diego,663,365744
5746,Miami,2047,801943
5747,Los Angeles,3789,1496534
5748,Austin,2072,1466851
5749,Denver,1516,1261629
5750,Dallas,1757,1020620
5751,Austin,1633,1206201
5752,San Diego,1155,395712
5753,Seattle,761,281685
5754,Boston,4900,1296091
5755,Seattle,3191,298991
5756,Miami,1105,1086376
5757,Los Angeles,2455,686374
5758,Los Angeles,4351,153670
5759,Seattle,2605,588122
5760,San Diego,3249,1456025
5761,Dallas,2767,304674
5762,San Diego,3873,379416
5763,Austin,1648,886873
5764,San Diego,1231,972733
